observationID;deploymentID;sequenceID;mediaID;timestamp;observationType;cameraSetup;taxonID;scientificName;count;countNew;lifeStage;sex;behaviour;individualID;classificationMethod;classifiedBy;classificationTimestamp;classificationConfidence;comments;_id
139;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;28931c3d9fcef2dd5a1adfaeb6443a3c;1501604;2021-06-21T11:59:10+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027149
140;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;d77eaad7e9c843b4855bd4c937318ac4;1501605;2021-06-21T11:59:10+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027150
141;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;646ef9654e8d9d701122f9532372eb5a;1501606;2021-06-21T11:59:10+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027151
142;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;e4421c4ae7bc4ebc0419aacc33ca6eaf;1501607;2021-06-21T11:59:10+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027152
143;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;96894ff6fa612f8e7b2707be6311cd8d;1501608;2021-06-21T13:15:36+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027153
144;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;990250f4bd07502845f8a82cd7ec62a4;1501609;2021-06-21T13:15:36+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027154
145;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;5f5b0e511c9f1f78fef2be3c3fd29d92;1501610;2021-06-21T13:15:36+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027155
146;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;666ea47917b9b745fdf3bd897fe0d244;1501611;2021-06-21T13:15:36+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027156
147;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;d450ae5b572f40936b67b09a8271e083;1501612;2021-06-21T13:15:36+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027157
178;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;5d0ade16ddea81693659a450d3fadcaa;1501643;2021-06-24T13:40:53+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027188
179;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;2965a84d8c3c06065107ccee96d92776;1501644;2021-06-24T13:40:53+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027189
180;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;17e2f58e4ae77d94e2c963e41f19e482;1501645;2021-06-24T13:40:53+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027190
181;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;eb27d56730db3a6cb35027145502275e;1501646;2021-06-24T13:40:53+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027191
182;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;3466633372c6d491537872b5dfff4b6b;1501647;2021-06-24T13:40:53+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027192
183;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;a37ff784c33e006fcf410cdc694cbb41;1501648;2021-06-24T13:41:45+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027193
184;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;e67b889be8de1f1c7be7a78a478d0824;1501649;2021-06-24T13:41:45+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027194
185;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;21fbeb06bc6ab93f8d5d1a06d14d51ef;1501650;2021-06-24T13:41:45+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027195
186;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;b82cada784104c38363fe49d59a439d5;1501651;2021-06-24T13:41:45+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027196
187;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;249ef05c2e91928e128a97ef649fcd15;1501652;2021-06-24T13:41:45+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:15:41+0000;;;1027197
198;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;cb50848ad6ed9ebca656a42308d3fdce;1501663;2021-05-14T11:05:35+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:32:57+0000;;;1027208
199;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;abe5ee480bb4623533799d8a35ced7e3;1501664;2021-05-14T11:05:35+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:32:57+0000;;;1027209
200;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;8adcecbefd6bd9f031a92b6fc341cd8a;1501665;2021-05-14T11:05:35+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:32:57+0000;;;1027210
201;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;b37d963527a59b89d821767929167cbc;1501666;2021-05-14T11:05:35+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:32:57+0000;;;1027211
202;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;414e01914806a7946560961d07e42ddf;1501667;2021-05-14T11:05:35+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:32:57+0000;;;1027212
242;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;bdea065ee5b72af9c86f0c02cc82e610;1501707;2021-05-20T09:11:22+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:33:52+0000;;;1027252
256;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;de8194551e815c3640c133bfbc9c5ce7;1501721;2021-05-27T05:34:54+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:52:42+0000;;;1027266
257;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;e05eddad61a55496d2077961dc70e798;1501722;2021-05-27T05:34:54+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:52:42+0000;;;1027267
273;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;5f5f5ae6d2e8ef695dbf631df29af3b2;1501738;2021-05-30T12:27:29+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:38+0000;;;1027283
274;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;1a8df61cbdf19c772103d60fd04dd167;1501739;2021-05-30T12:27:29+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027284
275;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;71279eecdd8d04201839027b11f581d8;1501740;2021-05-30T12:27:29+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027285
276;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;f3b46a5a4672fbf8ee73b782dc6e752d;1501741;2021-05-30T12:27:29+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027286
277;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;49f0b729e62b843fffc94fec80e43055;1501742;2021-05-30T12:27:29+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027287
278;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;6962b696d77e29986d07a979bf9bb9de;1501743;2021-05-31T21:48:39+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027288
279;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;6e2f9f3e66f05789a2c399b38f0c2a43;1501744;2021-05-31T21:48:39+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027289
280;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;9a901072e44e2f6a2603a78b85609a2a;1501745;2021-05-31T21:48:39+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027290
281;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;4a7a6a90e47e9fa17b820eb94beaa606;1501746;2021-05-31T21:48:39+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027291
282;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;398c81fdd244ee0401d1b9368c5136bf;1501747;2021-05-31T21:48:39+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:38:39+0000;;;1027292
308;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;f990fec6ee229f9b5f03618eff1474be;1501773;2021-06-02T12:48:12+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:47:06+0000;;;1027318
309;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;4e1a8359bac409c178efd7b47772262f;1501774;2021-06-02T12:48:12+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:47:06+0000;;;1027319
310;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;c5f9b0ed25835354a095a37a5f8c2e30;1501775;2021-06-02T12:48:12+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:47:06+0000;;;1027320
311;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;8fb2b044c7a46acbf4b8beb52fc03c38;1501776;2021-06-02T12:48:12+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:47:06+0000;;;1027321
312;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;9111eef94a58f1861392c9c34bce9ee4;1501777;2021-06-02T12:48:12+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:47:06+0000;;;1027322
321;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;c059127e5e464b416bb40e8e60a96dd9;1501786;2021-06-04T07:53:25+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:48:40+0000;;;1027331
322;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;5282b6192770088db821cec202e10d6f;1501787;2021-06-04T07:53:25+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:48:40+0000;;;1027332
334;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;f85af40c0e8cc49ff2051f4223735336;1501799;2021-06-06T04:51:02+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:50:41+0000;;;1027344
335;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;3c1fc52b22a0cc1aaa55bba428dd10f3;1501800;2021-06-06T04:51:02+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:50:41+0000;;;1027345
336;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;f790b5e06959deee1cde8b8ed86423d3;1501801;2021-06-06T04:51:02+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:50:41+0000;;;1027346
337;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;91916a7f6a5e290ae20af133ba8c8c71;1501802;2021-06-06T04:51:02+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:50:41+0000;;;1027347
339;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;8a9306ebf5ca5f550ac97780584450fe;1501804;2021-06-06T09:02:11+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:50:41+0000;;;1027349
340;VIELAAS_Spring_Session03-VIELAAS_Ermine_03;ee96afd106efab8333e314ba2ae23065;1501805;2021-06-06T09:02:11+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:50:41+0000;;;1027350
347;VIELAAS_Spring_Session03-VIELAAS_Fox_03;b2f3f1a4af555d14a277aa72b932068d;1501812;2021-05-14T11:46:32+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027357
348;VIELAAS_Spring_Session03-VIELAAS_Fox_03;3151f6e8ec85875b63dcb83c2ba7a3cf;1501813;2021-05-14T14:02:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027358
349;VIELAAS_Spring_Session03-VIELAAS_Fox_03;1f73019e153984143e32eae8362911a3;1501814;2021-05-14T14:02:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027359
350;VIELAAS_Spring_Session03-VIELAAS_Fox_03;3764b0c44d130ef498e9ff882584231a;1501815;2021-05-14T14:02:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027360
351;VIELAAS_Spring_Session03-VIELAAS_Fox_03;dde9b798ae77982101c3291c2de47074;1501816;2021-05-14T14:02:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027361
352;VIELAAS_Spring_Session03-VIELAAS_Fox_03;fcc851989a94b6b3460807fcd542e5dd;1501817;2021-05-14T14:02:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027362
353;VIELAAS_Spring_Session03-VIELAAS_Fox_03;e1cfff305a170e573eeb452dc097ae40;1501818;2021-05-14T14:04:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027363
354;VIELAAS_Spring_Session03-VIELAAS_Fox_03;a50f6aec7fcf140a4ab9c8c75dbd6551;1501819;2021-05-14T14:04:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027364
355;VIELAAS_Spring_Session03-VIELAAS_Fox_03;12277faf38ae5102ca1e7079cca7d3e9;1501820;2021-05-14T14:04:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027365
356;VIELAAS_Spring_Session03-VIELAAS_Fox_03;e80d39641274cee18a08ba0ab4f9d595;1501821;2021-05-14T14:04:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027366
357;VIELAAS_Spring_Session03-VIELAAS_Fox_03;594d4aab7df0596f7b69c39b391eccd4;1501822;2021-05-14T14:04:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027367
358;VIELAAS_Spring_Session03-VIELAAS_Fox_03;419ea5b43db2f31ee1133c3ff6920c8d;1501823;2021-05-14T14:04:48+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027368
359;VIELAAS_Spring_Session03-VIELAAS_Fox_03;17d578246b5ab5c7e2c11d9770127a7e;1501824;2021-05-14T14:04:48+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027369
360;VIELAAS_Spring_Session03-VIELAAS_Fox_03;0d2d6b1578b9cdcd2caa357c187204bb;1501825;2021-05-14T14:04:48+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027370
361;VIELAAS_Spring_Session03-VIELAAS_Fox_03;11b7dfc31373dd3df684d742ec682aee;1501826;2021-05-14T14:04:48+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027371
362;VIELAAS_Spring_Session03-VIELAAS_Fox_03;b29a2cda37167c792e7f790d9dc9f7ba;1501827;2021-05-14T14:04:48+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027372
363;VIELAAS_Spring_Session03-VIELAAS_Fox_03;ea383fd04fbe2354677fac3307e7152c;1501828;2021-05-14T14:07:51+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027373
364;VIELAAS_Spring_Session03-VIELAAS_Fox_03;0079d7cbf0e5a1ee7946418fbc44e31d;1501829;2021-05-14T14:07:51+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027374
365;VIELAAS_Spring_Session03-VIELAAS_Fox_03;e4d05db5e14626d27461772b27dcdb99;1501830;2021-05-14T14:07:51+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027375
366;VIELAAS_Spring_Session03-VIELAAS_Fox_03;9f8b2c83d3a587dc84bec1da3ea04e87;1501831;2021-05-14T14:07:51+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027376
367;VIELAAS_Spring_Session03-VIELAAS_Fox_03;057e3ee309ebab15de69526fd88291fd;1501832;2021-05-14T14:07:51+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027377
368;VIELAAS_Spring_Session03-VIELAAS_Fox_03;785ac95b4ba29fa08a4882c1214087eb;1501833;2021-05-14T14:07:59+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027378
369;VIELAAS_Spring_Session03-VIELAAS_Fox_03;c8d6a4be24f0eb6ee75880532097d5f4;1501834;2021-05-14T14:07:59+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027379
370;VIELAAS_Spring_Session03-VIELAAS_Fox_03;7e6e220a85bbb50d819f41b9f730355e;1501835;2021-05-14T14:07:59+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027380
371;VIELAAS_Spring_Session03-VIELAAS_Fox_03;212296319d16debc3bc37f3d0b46e2ce;1501836;2021-05-14T14:07:59+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027381
372;VIELAAS_Spring_Session03-VIELAAS_Fox_03;613a348351b5aed0549cdea6c0860614;1501837;2021-05-14T14:07:59+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027382
373;VIELAAS_Spring_Session03-VIELAAS_Fox_03;983a4db6e511225e504166d3f50fd693;1501838;2021-05-14T14:09:28+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027383
374;VIELAAS_Spring_Session03-VIELAAS_Fox_03;b8abf88da8dd1456320174362ba32a97;1501839;2021-05-14T14:09:28+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027384
375;VIELAAS_Spring_Session03-VIELAAS_Fox_03;29c73830c0bc73214b46eca1d1cba06d;1501840;2021-05-14T14:09:28+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027385
376;VIELAAS_Spring_Session03-VIELAAS_Fox_03;af456104cdff380090417c358a1b6273;1501841;2021-05-14T14:09:28+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027386
377;VIELAAS_Spring_Session03-VIELAAS_Fox_03;777edd76f611296c1c9e9ac4bde4bb9c;1501842;2021-05-14T14:09:28+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027387
378;VIELAAS_Spring_Session03-VIELAAS_Fox_03;0c73c4dcf7e9e508371777a1cf7c433c;1501843;2021-05-14T14:11:38+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027388
379;VIELAAS_Spring_Session03-VIELAAS_Fox_03;614e9ebf191839c4f9f4d93225388eec;1501844;2021-05-14T14:11:38+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027389
380;VIELAAS_Spring_Session03-VIELAAS_Fox_03;1f0c4cbae79d2360ca7602ffdc603c39;1501845;2021-05-14T14:11:38+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-25T19:29:24+0000;;;1027390
